iter	RMSE
0	1390.974529
1	1291.194936
2	1202.697841
3	1126.038014
4	1057.928482
5	995.3435749
6	941.1008999
7	895.0836115
8	855.0416791
9	820.3918041
10	789.7135014
11	761.7239384
12	738.2304318
13	717.5963319
14	700.6100896
15	685.1334066
16	672.7590977
17	661.1367252
18	650.9876734
19	642.5677662
20	634.6032994
21	627.7254887
22	621.3145685
23	616.1156382
24	610.9723238
25	605.8478951
26	601.5653236
27	598.4899049
28	595.9160142
29	592.7478913
30	589.7931767
31	586.739025
32	584.0701612
33	581.655101
34	579.3545004
35	576.970295
36	575.276286
37	573.6457786
38	571.413164
39	570.2724508
40	568.374053
41	566.1815412
42	565.0678216
43	563.5218016
44	562.5070649
45	560.6685066
46	559.2522566
47	558.0169308
48	556.6478662
49	555.7187469
50	555.0547841
51	554.096338
52	553.0068901
53	551.6497465
54	550.8920379
55	549.9046187
56	548.1223293
57	547.5098532
58	546.5486198
59	545.189499
60	543.9929918
61	542.773947
62	541.1500697
63	540.0704885
64	538.5391353
65	537.3643399
66	536.2968424
67	535.4916223
68	534.613812
69	533.0378414
70	531.8652369
71	530.9055266
72	530.0206722
73	529.4754765
74	528.3219377
75	527.4451272
76	526.5052647
77	526.0695791
78	524.6127017
79	523.8122368
80	522.8599262
81	521.9035851
82	521.3407399
83	520.7711502
84	520.0082095
85	519.3473788
86	518.2175287
87	517.1790414
88	516.3702626
89	515.8855017
90	515.3985319
91	514.4966593
92	513.9001813
93	512.8307943
94	511.5206225
95	510.3171904
96	509.795579
97	509.0480562
98	508.4539056
99	507.5396029
100	506.3098535
101	505.7790873
102	504.9746888
103	503.9296217
104	502.9961158
105	502.3422141
106	501.5315451
107	501.1059356
108	500.3701684
109	499.481164
110	498.329514
111	497.5500846
112	496.5893184
113	496.0501227
114	495.1566167
115	493.8901677
116	493.0791353
117	492.4446771
118	491.6238024
119	490.9727367
120	490.3758651
121	489.6943193
122	488.8029541
123	488.2204037
124	487.7744055
125	487.1918245
126	486.2474428
127	485.4667887
128	484.8558076
129	484.2725964
130	483.5436056
131	482.6213064
132	481.9020059
133	481.2132487
134	480.693405
135	480.2483703
136	479.8725678
137	479.3612455
138	478.9625365
139	478.1746639
140	477.5666691
141	476.9607333
142	476.2027354
143	475.4582384
144	475.1573296
145	474.5444153
146	473.8451479
147	473.4441931
148	472.925229
149	472.5869049
150	471.9371052
151	471.503687
152	471.2311166
153	470.7516961
154	469.7875454
155	468.9574724
156	468.3882583
157	467.8673533
158	467.243222
159	466.7849541
160	466.3145822
161	465.5550328
162	464.8941608
