iter	Passed	Remaining
0	15	15174
1	27	13954
2	38	12835
3	49	12311
4	61	12288
5	71	11819
6	81	11600
7	93	11532
8	103	11363
9	114	11325
10	125	11264
11	135	11168
12	147	11181
13	157	11117
14	169	11103
15	179	11031
16	189	10949
17	205	11198
18	216	11182
19	228	11208
20	242	11283
21	254	11304
22	263	11213
23	276	11236
24	287	11223
25	298	11199
26	310	11190
27	324	11275
28	336	11275
29	346	11192
30	372	11635
31	382	11571
32	393	11525
33	404	11506
34	416	11469
35	426	11416
36	438	11418
37	450	11403
38	461	11368
39	472	11329
40	482	11291
41	493	11257
42	504	11238
43	514	11188
44	525	11153
45	537	11146
46	547	11099
47	557	11051
48	567	11009
49	576	10962
50	588	10943
51	600	10940
52	610	10916
53	620	10876
54	633	10887
55	645	10885
56	655	10838
57	667	10835
58	677	10812
59	688	10789
60	700	10776
61	713	10788
62	726	10810
63	739	10822
64	750	10796
65	763	10803
66	774	10790
67	789	10821
68	801	10818
69	827	10990
70	842	11027
71	857	11050
72	873	11088
73	889	11133
74	906	11175
75	920	11191
76	934	11203
77	949	11220
78	963	11230
79	977	11241
80	991	11251
81	1005	11251
82	1016	11232
83	1028	11213
84	1039	11193
85	1051	11173
86	1061	11139
87	1072	11116
88	1084	11104
89	1094	11067
90	1105	11046
91	1117	11032
92	1128	11010
93	1139	10984
94	1150	10957
95	1159	10922
96	1170	10897
97	1182	10881
98	1192	10854
99	1203	10832
100	1214	10809
101	1226	10794
102	1237	10777
103	1247	10746
104	1256	10713
105	1268	10694
106	1278	10672
107	1289	10654
108	1301	10638
109	1312	10618
110	1321	10585
111	1332	10564
112	1342	10534
113	1351	10506
114	1361	10481
115	1372	10459
116	1384	10446
117	1395	10428
118	1404	10399
119	1415	10382
120	1426	10361
121	1435	10333
122	1445	10307
123	1456	10290
124	1465	10260
125	1476	10244
126	1486	10215
127	1504	10247
128	1517	10246
129	1528	10226
130	1537	10202
131	1548	10183
132	1559	10165
133	1568	10139
134	1581	10131
135	1592	10118
136	1601	10087
137	1613	10079
138	1624	10060
139	1632	10029
140	1643	10012
141	1653	9993
142	1664	9973
143	1675	9961
144	1686	9946
145	1696	9921
146	1707	9907
147	1718	9891
148	1727	9867
149	1737	9847
150	1747	9824
151	1758	9807
152	1769	9793
153	1778	9768
154	1788	9750
155	1799	9736
156	1809	9717
157	1820	9700
158	1829	9674
159	1839	9657
160	1850	9641
161	1858	9615
162	1869	9600
163	1879	9581
164	1891	9569
165	1902	9558
166	1911	9536
167	1924	9528
168	1935	9517
169	1946	9501
170	1956	9484
171	1967	9470
172	1977	9453
173	1987	9433
174	1998	9420
175	2008	9402
176	2018	9384
177	2029	9371
178	2038	9351
179	2048	9334
180	2059	9320
181	2069	9301
182	2080	9287
183	2090	9269
184	2100	9254
185	2111	9242
186	2121	9223
187	2131	9208
188	2141	9190
189	2153	9180
190	2166	9175
191	2177	9163
192	2189	9154
193	2198	9134
194	2210	9124
195	2220	9106
196	2229	9089
197	2241	9078
198	2251	9061
199	2261	9045
200	2271	9031
201	2281	9011
202	2291	8997
203	2301	8981
204	2311	8964
205	2321	8948
206	2331	8930
207	2342	8918
208	2352	8902
209	2362	8888
210	2374	8879
211	2386	8869
212	2395	8851
213	2407	8841
214	2417	8827
215	2426	8807
216	2437	8796
217	2451	8794
218	2461	8778
219	2473	8768
220	2485	8760
221	2496	8750
222	2506	8733
223	2516	8718
224	2526	8701
225	2536	8687
226	2549	8680
227	2558	8664
228	2569	8651
229	2580	8640
230	2591	8625
231	2601	8610
232	2611	8597
233	2622	8584
234	2632	8570
235	2645	8562
236	2655	8549
237	2667	8539
238	2677	8525
239	2687	8510
240	2698	8500
241	2708	8483
242	2718	8468
243	2728	8454
244	2738	8438
245	2748	8423
246	2759	8411
247	2768	8393
248	2780	8384
249	2791	8373
250	2800	8357
251	2811	8343
252	2821	8331
253	2830	8313
254	2843	8308
255	2855	8297
256	2866	8286
257	2879	8281
258	2892	8274
259	2904	8265
260	2914	8251
261	2924	8239
262	2936	8229
263	2948	8220
264	2958	8205
265	2969	8193
266	2980	8182
267	2991	8170
268	3001	8155
269	3010	8139
270	3020	8126
271	3030	8111
272	3041	8098
273	3051	8085
274	3060	8068
275	3072	8058
276	3082	8046
277	3092	8032
278	3103	8020
279	3113	8006
280	3123	7992
281	3133	7978
282	3143	7964
283	3154	7952
284	3166	7943
285	3176	7928
286	3186	7916
287	3198	7906
288	3208	7892
289	3218	7879
290	3229	7867
291	3238	7853
292	3250	7842
293	3259	7827
294	3270	7817
295	3281	7804
296	3291	7789
297	3301	7777
298	3312	7766
299	3322	7751
300	3334	7743
301	3345	7731
302	3354	7717
303	3366	7706
304	3377	7695
305	3387	7682
306	3397	7670
307	3408	7657
308	3417	7642
309	3428	7630
310	3438	7617
311	3448	7604
312	3460	7594
313	3470	7581
314	3481	7570
315	3490	7556
316	3500	7542
317	3512	7533
318	3522	7519
319	3532	7507
320	3542	7493
321	3553	7482
322	3564	7471
323	3574	7456
324	3585	7445
325	3595	7432
326	3604	7419
327	3616	7408
328	3627	7398
329	3636	7383
330	3648	7374
331	3659	7362
332	3668	7348
333	3679	7337
334	3690	7326
335	3701	7314
336	3713	7305
337	3724	7294
338	3734	7281
339	3745	7271
340	3757	7260
341	3767	7247
342	3776	7234
343	3786	7220
344	3796	7207
345	3807	7196
346	3816	7182
347	3826	7169
348	3896	7267
349	3910	7261
350	3921	7250
351	3931	7236
352	3944	7229
353	3956	7220
354	3967	7207
355	3978	7197
356	3990	7187
357	4005	7183
358	4022	7182
359	4033	7170
360	4043	7157
361	4056	7149
362	4065	7134
363	4075	7121
364	4087	7111
365	4100	7103
366	4110	7090
367	4121	7078
368	4131	7064
369	4141	7052
370	4152	7040
371	4163	7028
372	4173	7015
373	4184	7003
374	4196	6993
375	4206	6980
376	4217	6968
377	4229	6959
378	4240	6947
379	4252	6937
380	4262	6924
381	4273	6913
382	4285	6903
383	4296	6892
384	4306	6879
385	4319	6870
386	4331	6860
387	4341	6847
388	4352	6835
389	4363	6825
390	4373	6811
391	4383	6799
392	4394	6787
393	4403	6772
394	4414	6762
395	4427	6752
396	4437	6739
397	4447	6727
398	4458	6715
399	4469	6703
400	4480	6692
401	4492	6682
402	4501	6669
403	4514	6659
404	4525	6649
405	4538	6639
406	4549	6628
407	4560	6617
408	4570	6604
409	4581	6593
410	4593	6583
411	4605	6572
412	4615	6559
413	4625	6547
414	4636	6535
415	4645	6521
416	4656	6509
417	4665	6496
418	4677	6485
419	4688	6475
420	4698	6461
421	4709	6450
422	4721	6439
423	4733	6430
424	4744	6418
425	4756	6408
426	4767	6397
427	4776	6383
428	4789	6374
429	4801	6364
430	4815	6356
431	4830	6351
432	4841	6340
433	4852	6328
434	4862	6316
435	4872	6303
436	4883	6291
437	4893	6279
438	4904	6267
439	4915	6255
440	4924	6242
441	4936	6231
442	4946	6218
443	4956	6206
444	4967	6195
445	4979	6185
446	4989	6172
447	5000	6160
448	5012	6151
449	5022	6138
450	5034	6128
451	5046	6118
452	5057	6106
453	5069	6096
454	5082	6087
455	5093	6076
456	5103	6063
457	5113	6051
458	5125	6040
459	5134	6027
460	5145	6015
461	5156	6004
462	5167	5992
463	5178	5981
464	5188	5969
465	5199	5957
466	5209	5946
467	5219	5932
468	5230	5921
469	5240	5909
470	5249	5895
471	5260	5884
472	5272	5874
473	5281	5861
474	5293	5851
475	5304	5839
476	5314	5826
477	5326	5816
478	5338	5806
479	5347	5793
480	5357	5781
481	5369	5770
482	5378	5757
483	5389	5746
484	5403	5737
485	5413	5725
486	5423	5713
487	5433	5700
488	5443	5688
489	5453	5676
490	5463	5664
491	5474	5652
492	5486	5641
493	5496	5630
494	5506	5617
495	5517	5606
496	5526	5592
497	5536	5581
498	5547	5569
499	5557	5557
500	5569	5547
501	5580	5535
502	5589	5522
503	5600	5512
504	5611	5499
505	5620	5487
506	5631	5475
507	5641	5463
508	5651	5451
509	5663	5441
510	5672	5428
511	5682	5416
512	5693	5405
513	5704	5394
514	5715	5382
515	5724	5369
516	5734	5357
517	5744	5344
518	5754	5332
519	5765	5322
520	5777	5311
521	5788	5300
522	5798	5288
523	5810	5277
524	5819	5265
525	5829	5253
526	5841	5242
527	5850	5230
528	5863	5220
529	5875	5210
530	5886	5199
531	5897	5187
532	5909	5177
533	5919	5165
534	5928	5153
535	5940	5142
536	5952	5132
537	5962	5120
538	5972	5108
539	5983	5096
540	5993	5084
541	6004	5073
542	6015	5062
543	6025	5050
544	6036	5039
545	6047	5028
546	6059	5018
547	6070	5006
548	6079	4993
549	6091	4983
550	6101	4972
551	6111	4959
552	6121	4948
553	6133	4938
554	6143	4925
555	6155	4915
556	6167	4904
557	6176	4892
558	6186	4880
559	6198	4870
560	6209	4858
561	6219	4847
562	6230	4835
563	6240	4824
564	6251	4813
565	6262	4802
566	6273	4790
567	6283	4779
568	6293	4767
569	6304	4755
570	6314	4744
571	6324	4732
572	6334	4720
573	6344	4708
574	6353	4696
575	6364	4685
576	6375	4674
577	6385	4662
578	6396	4650
579	6406	4638
580	6416	4627
581	6425	4615
582	6435	4603
583	6446	4591
584	6457	4580
585	6466	4568
586	6478	4558
587	6490	4548
588	6500	4535
589	6510	4524
590	6521	4513
591	6530	4500
592	6541	4490
593	6552	4478
594	6563	4467
595	6574	4456
596	6600	4455
597	6611	4444
598	6621	4433
599	6634	4422
600	6645	4411
601	6657	4401
602	6669	4391
603	6681	4380
604	6691	4368
605	6702	4357
606	6713	4346
607	6723	4334
608	6734	4323
609	6744	4312
610	6755	4300
611	6766	4289
612	6775	4277
613	6787	4267
614	6799	4256
615	6810	4245
616	6820	4234
617	6832	4223
618	6843	4212
619	6852	4200
620	6864	4189
621	6873	4177
622	6883	4165
623	6893	4153
624	6903	4142
625	6913	4130
626	6923	4118
627	6933	4107
628	6945	4096
629	6957	4086
630	6969	4075
631	6980	4064
632	6991	4053
633	7001	4042
634	7014	4031
635	7025	4020
636	7036	4009
637	7049	3999
638	7061	3989
639	7071	3977
640	7081	3966
641	7092	3954
642	7102	3943
643	7113	3932
644	7124	3921
645	7137	3911
646	7146	3899
647	7159	3889
648	7170	3878
649	7180	3866
650	7191	3855
651	7202	3844
652	7213	3833
653	7224	3822
654	7236	3811
655	7246	3800
656	7258	3789
657	7270	3778
658	7281	3767
659	7294	3757
660	7306	3747
661	7318	3736
662	7330	3725
663	7343	3716
664	7356	3705
665	7369	3695
666	7380	3684
667	7390	3673
668	7403	3663
669	7417	3653
670	7428	3642
671	7440	3631
672	7453	3621
673	7466	3611
674	7478	3600
675	7489	3589
676	7501	3578
677	7513	3568
678	7523	3556
679	7534	3545
680	7547	3535
681	7559	3524
682	7568	3512
683	7580	3501
684	7590	3490
685	7600	3478
686	7610	3467
687	7619	3455
688	7630	3444
689	7640	3432
690	7651	3421
691	7662	3410
692	7672	3398
693	7682	3387
694	7692	3375
695	7702	3364
696	7713	3353
697	7724	3341
698	7734	3330
699	7745	3319
700	7755	3308
701	7764	3296
702	7775	3285
703	7785	3273
704	7795	3262
705	7808	3251
706	7818	3240
707	7828	3228
708	7838	3217
709	7847	3205
710	7858	3194
711	7868	3182
712	7878	3171
713	7888	3159
714	7899	3148
715	7908	3137
716	7918	3125
717	7928	3113
718	7939	3102
719	7950	3091
720	7960	3080
721	7970	3069
722	7981	3058
723	7992	3046
724	8003	3035
725	8013	3024
726	8024	3013
727	8037	3003
728	8048	2992
729	8059	2980
730	8070	2969
731	8080	2958
732	8089	2946
733	8102	2936
734	8114	2925
735	8123	2913
736	8135	2903
737	8146	2892
738	8156	2880
739	8167	2869
740	8176	2857
741	8186	2846
742	8198	2835
743	8208	2824
744	8218	2813
745	8229	2802
746	8239	2790
747	8250	2779
748	8261	2768
749	8273	2757
750	8284	2746
751	8295	2735
752	8309	2725
753	8321	2714
754	8331	2703
755	8342	2692
756	8351	2680
757	8362	2669
758	8372	2658
759	8384	2647
760	8394	2636
761	8404	2625
762	8414	2613
763	8425	2602
764	8435	2591
765	8447	2580
766	8460	2570
767	8473	2559
768	8483	2548
769	8495	2537
770	8508	2527
771	8520	2516
772	8531	2505
773	8543	2494
774	8554	2483
775	8564	2472
776	8574	2460
777	8586	2450
778	8596	2438
779	8606	2427
780	8616	2416
781	8626	2404
782	8636	2393
783	8662	2386
784	8673	2375
785	8684	2364
786	8694	2353
787	8706	2342
788	8720	2332
789	8733	2321
790	8743	2310
791	8755	2299
792	8766	2288
793	8777	2277
794	8788	2266
795	8801	2255
796	8814	2245
797	8825	2234
798	8834	2222
799	8845	2211
800	8856	2200
801	8867	2189
802	8880	2178
803	8894	2168
804	8910	2158
805	8925	2148
806	8937	2137
807	8951	2126
808	8966	2116
809	8983	2107
810	9000	2097
811	9015	2087
812	9031	2077
813	9044	2066
814	9059	2056
815	9074	2046
816	9090	2036
817	9111	2027
818	9127	2017
819	9144	2007
820	9166	1998
821	9182	1988
822	9201	1978
823	9223	1970
824	9238	1959
825	9253	1949
826	9267	1938
827	9279	1927
828	9294	1917
829	9308	1906
830	9320	1895
831	9330	1884
832	9342	1873
833	9356	1862
834	9370	1851
835	9383	1840
836	9394	1829
837	9406	1818
838	9419	1807
839	9432	1796
840	9443	1785
841	9454	1774
842	9469	1763
843	9482	1752
844	9495	1741
845	9506	1730
846	9518	1719
847	9530	1708
848	9543	1697
849	9554	1686
850	9567	1675
851	9579	1663
852	9593	1653
853	9614	1643
854	9630	1633
855	9643	1622
856	9654	1610
857	9669	1600
858	9689	1590
859	9708	1580
860	9722	1569
861	9732	1558
862	9743	1546
863	9756	1535
864	9768	1524
865	9779	1513
866	9791	1502
867	9802	1490
868	9813	1479
869	9825	1468
870	9838	1457
871	9850	1445
872	9861	1434
873	9875	1423
874	9888	1412
875	9900	1401
876	9912	1390
877	9924	1379
878	9938	1368
879	9950	1356
880	9963	1345
881	9975	1334
882	9987	1323
883	9999	1312
884	10010	1300
885	10023	1289
886	10035	1278
887	10047	1267
888	10058	1255
889	10070	1244
890	10082	1233
891	10092	1221
892	10102	1210
893	10113	1199
894	10124	1187
895	10135	1176
896	10146	1165
897	10156	1153
898	10168	1142
899	10178	1130
900	10189	1119
901	10201	1108
902	10212	1097
903	10225	1085
904	10236	1074
905	10247	1063
906	10259	1051
907	10270	1040
908	10280	1029
