SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
01015,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,4119.587745556337,11697.115182842688,1844.1337597815248,2644.1,4933.1,19835.3,2954.9,1001.3,3181.3999999999996
01016,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,662.4310425432446,277.741935483871,210.854331358175,425.3832,208.8504,607.3056,451.2816,130.1256,778.3319
01022,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,26.25,200.89285714285717,79.70319810000001,55.55,89.87,281.38,64.68,99.33,40.1497
01027,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,10.57086318185,18.0576,14.9688,45.6984,11.7216,6.6528,11.721
01037,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,19.35483870967742,,,17.2,105.2,246.5,,,30.0
01041,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,332.5135418427376,837.3687714561033,224.1706032779,191.8,796.56,1641.8400000000001,261.04,447.48,259.0398
01042,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,175.0,1225.0,,,4.15,,,,
01065,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,3.9210526315789473,27.44736842105263,,,,,,,
01070,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,122.91163828149908,80.40568104555413,95.46097873545,309.5928,130.5216,310.2264,60.2712,66.7656,145.3248
01071,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,262.86822291052863,425.57679232454484,478.1247297546,845.52,792.24,1735.68,538.2,377.16,1048.3187
01073,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,3450.0,3450.0,,,1814.4,4579.2,,,
01076,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,7.5,13.44,,10.08,8.64,,7.0
01077,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,3621.9365919098823,7735.87309575013,919.6874236972749,822.36,6577.44,4727.88,449.64,592.8,392.6416
01078,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,68.27203839982295,476.3133597078515,4.0,0.72,9.0,216.63000000000002,,,
01095,PILSNER URQUELL,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,19.967382489241974,89.21612186913828,0.3,,,23.76,0.3,,1.0
01125,ASAHI,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,7.83010573615,0.396,0.396,1.0296,,,2.0
02015,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,440.7534857615502,374.7484146677695,911.007835709425,493.7,286.3,744.9,350.5,883.8,383.401
02071,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,41.83026113671274,140.06245452340528,180.776712395775,148.2,236.52,331.8,121.32,,144.4809
02115,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,14181.237405068052,5070.853669533636,7483.262299825274,6525.6,7318.6,11769.6,7317.2,10416.5,7887.301100000001
