Country,Year,Week,Workdays
CZ,2016,01,5
CZ,2016,02,5
CZ,2016,03,5
CZ,2016,04,5
CZ,2016,05,5
CZ,2016,06,5
CZ,2016,07,5
CZ,2016,08,5
CZ,2016,09,5
CZ,2016,10,5
CZ,2016,11,5
CZ,2016,12,4
CZ,2016,13,4
CZ,2016,14,5
CZ,2016,15,5
CZ,2016,16,5
CZ,2016,17,5
CZ,2016,18,5
CZ,2016,19,5
CZ,2016,20,5
CZ,2016,21,5
CZ,2016,22,5
CZ,2016,23,5
CZ,2016,24,5
CZ,2016,25,5
CZ,2016,26,5
CZ,2016,27,3
CZ,2016,28,5
CZ,2016,29,5
CZ,2016,30,5
CZ,2016,31,5
CZ,2016,32,5
CZ,2016,33,5
CZ,2016,34,5
CZ,2016,35,5
CZ,2016,36,5
CZ,2016,37,5
CZ,2016,38,5
CZ,2016,39,4
CZ,2016,40,5
CZ,2016,41,5
CZ,2016,42,5
CZ,2016,43,4
CZ,2016,44,5
CZ,2016,45,5
CZ,2016,46,4
CZ,2016,47,5
CZ,2016,48,5
CZ,2016,49,5
CZ,2016,50,5
CZ,2016,51,5
CZ,2016,52,4
CZ,2017,01,5
CZ,2017,02,5
CZ,2017,03,5
CZ,2017,04,5
CZ,2017,05,5
CZ,2017,06,5
CZ,2017,07,5
CZ,2017,08,5
CZ,2017,09,5
CZ,2017,10,5
CZ,2017,11,5
CZ,2017,12,5
CZ,2017,13,5
CZ,2017,14,5
CZ,2017,15,4
CZ,2017,16,4
CZ,2017,17,5
CZ,2017,18,4
CZ,2017,19,4
CZ,2017,20,5
CZ,2017,21,5
CZ,2017,22,5
CZ,2017,23,5
CZ,2017,24,5
CZ,2017,25,5
CZ,2017,26,5
CZ,2017,27,3
CZ,2017,28,5
CZ,2017,29,5
CZ,2017,30,5
CZ,2017,31,5
CZ,2017,32,5
CZ,2017,33,5
CZ,2017,34,5
CZ,2017,35,5
CZ,2017,36,5
CZ,2017,37,5
CZ,2017,38,5
CZ,2017,39,4
CZ,2017,40,5
CZ,2017,41,5
CZ,2017,42,5
CZ,2017,43,5
CZ,2017,44,5
CZ,2017,45,5
CZ,2017,46,4
CZ,2017,47,5
CZ,2017,48,5
CZ,2017,49,5
CZ,2017,50,5
CZ,2017,51,5
CZ,2017,52,3
CZ,2018,01,4
CZ,2018,02,5
CZ,2018,03,5
CZ,2018,04,5
CZ,2018,05,5
CZ,2018,06,5
CZ,2018,07,5
CZ,2018,08,5
CZ,2018,09,5
CZ,2018,10,5
CZ,2018,11,5
CZ,2018,12,5
CZ,2018,13,4
CZ,2018,14,4
CZ,2018,15,5
