SkuShort,Brand,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01015,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,7360.0,5216.0,6850.0,8264.0,4304.0,9070.0,7284.0,13281.7,12730.0,9319.0
01015,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,2592.0,1496.0,1698.0,2022.0,1120.0,1567.0,1097.0,2844.5,1986.0,1957.0
01016,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,303.0,331.5,413.8,109.94,230.6,175.1,157.1,133.848,175.5,289.0
01016,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,22.58,16.81,28.7,25.81,41.9,35.88,45.62,25.8984,26.88,37.0
01027,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,,7.05,9.82,10.45,5.94,17.42,4.752,7.484,16.0
01041,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,14.29,450.5,519.0,364.8,168.5,266.8,236.4,397.5,456.0
01042,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,252.0,,,864.0,,,,144.0,576.0,522.0
01070,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,168.0,179.0,143.1,162.1,93.75,110.75,145.6,57.024,83.6,169.0
01070,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,0.389,0.389,10.29,14.65,5.703,15.29,16.08,4.5936,7.125,14.0
01071,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,1512.0,805.0,1884.0,2946.0,1003.5,818.0,1003.0,2291.16,1685.0,2220.0
01077,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,2530.0,1118.0,1919.0,3270.0,1944.0,829.0,2180.0,1816.08,2802.0,2216.0
01077,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,1692.0,1459.0,2124.0,3768.0,1983.0,2320.0,821.5,2139.0,2174.0,2519.0
01078,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,110.0,78.56,37.22,52.47,41.66,123.5,,58.05,99.0,84.0
01096,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,,1.541,0.52,0.44,0.52,,0.24,0.52,12.0
01125,ASAHI,CZ,2021,10,5,2.34,0.877,3.383,True,,,0.8926,2.217,1.9,0.792,0.396,1.0296,0.651,8.0
01125,ASAHI,SK,2021,10,5,2.34,0.877,3.383,True,,,0.1224,0.475,0.0792,0.554,0.0792,0.2376,0.2148,2.0
02015,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,876.0,1042.0,1265.0,1123.0,1211.0,407.8,2802.0,718.7,1081.0,1258.0
02015,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,148.2,121.2,,70.7,57.4,,,110.8,20.11,129.0
02071,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,334.8,703.5,646.5,955.5,2094.0,310.2,387.5,1857.12,1431.0,952.0
02077,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,519.0,675.5,404.5,684.0,1363.0,453.8,297.2,477.84,402.5,799.0
02115,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,4984.0,5730.0,12420.0,6250.0,9030.0,10580.0,7730.0,8038.5,7404.0,8909.0
02115,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,1221.0,767.5,287.2,1005.5,1075.0,219.6,60.5,885.3,541.0,748.0
02141,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,121.8,77.94,39.56,130.8,185.4,21.8,181.5,91.0
02170,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,17.14,39.12,15.52,21.94,92.5,71.4,27.7992,34.47,30.0
02171,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,788.5,1180.0,1687.0,2086.0,1498.0,876.5,1964.0,1341.84,992.5,1767.0
02177,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,629.5,875.0,909.0,1213.0,1643.0,509.5,868.0,673.56,736.0,1120.0
02177,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,1101.0,892.0,1193.0,2468.0,1468.0,1528.0,876.0,1254.84,1169.0,1462.0
02215,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,96.44,25.0,223.2,265.0,248.2,249.2,209.4,237.1,312.8,290.0
02815,EXCELENT,CZ,2021,10,5,2.34,0.877,3.383,True,926.0,2130.0,2480.0,2122.0,2966.0,2148.0,1217.0,1192.5,1766.0,1909.0
02841,EXCELENT,CZ,2021,10,5,2.34,0.877,3.383,True,10.0,10.0,87.2,149.8,134.1,77.1,97.9,54.6,106.2,128.0
02871,EXCELENT,CZ,2021,10,5,2.34,0.877,3.383,True,383.8,211.8,298.2,525.0,273.2,380.5,371.2,493.56,613.5,489.0
02877,EXCELENT,CZ,2021,10,5,2.34,0.877,3.383,True,357.2,,79.9,75.1,39.38,33.72,98.25,577.08,447.0,264.0
03015,PRIMUS,CZ,2021,10,5,2.34,0.877,3.383,True,202.9,253.0,697.5,754.0,664.5,671.5,1040.0,596.5,1050.0,729.0
03092,PRIMUS,CZ,2021,10,5,2.34,0.877,3.383,True,264.8,443.0,421.0,863.5,427.2,654.5,685.0,429.72,390.0,667.0
03115,KLASIK,CZ,2021,10,5,2.34,0.877,3.383,True,234.6,390.2,831.0,1498.0,963.0,977.5,989.5,929.1,1180.0,1069.0
03515,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,92.9,22.86,40.03,12.8,74.4,9.7,14.2,76.2,179.0,61.0
04015,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,206.1,326.5,385.2,589.5,452.0,258.2,380.8,492.8,361.2,471.0
04077,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,605.5,521.5,259.2,375.2,342.2,181.2,207.9,113.76,247.1,441.0
04215,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,331.5,1022.5,1206.0,1881.0,1510.0,886.0,1299.0,1340.5,1221.0,1291.0
04271,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,265.8,422.8,172.1,91.2,96.94,212.0,275.2,80.28,101.06,147.0
04277,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,163.5,422.8,607.5,964.0,812.0,413.0,623.0,331.2,927.0,768.0
04315,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,7.08,4.938,38.78,37.4,22.4,42.2,47.1,46.2,28.3,37.0
04377,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,2.219,22.22,20.28,34.1,8.64,40.2,14.4,22.8,17.64,30.0
04476,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,88.0,208.6,137.9,120.4,173.9,136.2,223.6,118.68,65.4,144.0
04515,SMADNY MNICH,SK,2021,10,5,2.34,0.877,3.383,True,548.5,900.5,856.5,910.0,819.0,904.5,756.0,1010.3,669.0,1041.0
04585,SMADNY MNICH,SK,2021,10,5,2.34,0.877,3.383,True,905.5,409.0,1044.0,1814.0,868.5,590.0,750.0,1721.412,1175.0,1230.0
04590,SMADNY MNICH,SK,2021,10,5,2.34,0.877,3.383,True,342.5,679.0,835.5,1364.0,568.0,1618.0,1417.0,1170.9,946.0,988.0
04976,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,111.3,297.0,171.4,177.5,308.8,167.8,,24.72,79.7,222.0
05015,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,6760.0,4170.0,4572.0,7364.0,7030.0,2518.0,2320.0,4968.2,6740.0,6779.0
05071,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,815.5,1041.0,1357.0,2348.0,4116.0,768.5,916.5,3602.52,3120.0,2023.0
05115,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,10620.0,7776.0,7452.0,12720.0,10984.0,7348.0,4690.0,8975.9,10200.0,9548.0
05141,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,,,88.8,176.2,92.2,72.56,108.25,99.6,121.56,129.0
05171,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,1141.0,2480.0,724.0,1021.0,3870.0,489.5,725.5,615.48,756.5,1083.0
05177,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,708.0,952.0,334.5,885.5,347.0,75.1,136.4,332.04,376.8,642.0
05184,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,,,37.12,,,,,0.0,0.0,181.0
05215,BIRELL,CZ,2021,10,5,2.34,0.877,3.383,True,3282.0,2274.0,2218.0,2364.0,984.5,3122.0,3224.0,770.0,782.5,3003.0
05215,BIRELL,SK,2021,10,5,2.34,0.877,3.383,True,38.8,28.64,279.8,77.7,47.6,277.8,215.5,59.3,57.03,111.0
05216,BIRELL,CZ,2021,10,5,2.34,0.877,3.383,True,91.56,83.0,115.6,7.367,10.375,148.1,154.6,14.9688,34.44,41.0
05225,BIRELL,SK,2021,10,5,2.34,0.877,3.383,True,0.4517,1.88,1.283,0.1584,0.634,12.67,14.016,0.0,1.2,5.0
05241,BIRELL,CZ,2021,10,5,2.34,0.877,3.383,True,124.3,10.0,51.34,87.6,44.9,43.1,80.75,77.44,156.2,98.0
05270,BIRELL,CZ,2021,10,5,2.34,0.877,3.383,True,,17.14,5.438,44.03,48.94,46.56,65.44,26.6904,42.72,50.0
