SkuShort,Brand,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01000,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,,2440.0,155.1,215.1,2566.0,2684.0,191.57,95.0,175.0
01002,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,,,712.0,807.0,512.0,486.2,564.0,480.2,577.0
01002,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,,,,57.44,64.6,66.44,60.44,43.2,72.0,55.0
01003,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,,2704.0,1123.0,1506.0,2692.0,2882.0,939.9,935.0,967.0
01003,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,,,438.5,165.0,194.1,496.5,462.2,96.3,186.1,182.0
01005,PILSNER URQUELL,CZ,2021,10,5,2.34,0.877,3.383,True,,,5404.0,1252.0,1561.0,6704.0,6308.0,1142.5,1270.0,1174.0
01005,PILSNER URQUELL,SK,2021,10,5,2.34,0.877,3.383,True,,,694.0,280.5,382.0,628.5,757.0,193.0,298.5,331.0
02303,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,,96.6,114.6,329.5,340.8,79.5,58.5,88.0
02305,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,,121.0,146.0,1642.0,1462.0,128.5,136.9,101.0
02503,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,,65.4,77.4,100.2,100.5,61.2,43.7,54.0
02503,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,,,,3.0,2.1,19.2,22.2,2.7,3.678,0.0
02505,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,584.5,105.0,147.0,840.5,1034.0,90.5,85.2,121.0
02603,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,421.0,327.5,388.2,500.0,575.0,214.8,215.8,303.0
02603,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,,,,43.2,59.1,93.0,110.1,22.5,40.0,34.0
02605,GAMBRINUS,CZ,2021,10,5,2.34,0.877,3.383,True,,,4170.0,601.5,801.0,4520.0,5316.0,505.0,542.5,677.0
02605,GAMBRINUS,SK,2021,10,5,2.34,0.877,3.383,True,,,553.5,103.5,99.5,464.5,516.5,39.0,84.5,107.0
02803,EXCELENT,CZ,2021,10,5,2.34,0.877,3.383,True,,,,102.9,135.0,138.0,172.8,94.5,52.94,96.0
02803,EXCELENT,SK,2021,10,5,2.34,0.877,3.383,True,,,,4.5,11.4,33.6,35.1,5.7,9.9,0.0
02805,EXCELENT,CZ,2021,10,5,2.34,0.877,3.383,True,,,,100.5,62.5,486.5,606.0,116.0,57.88,85.0
04003,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,,,,42.3,45.3,99.3,93.0,22.2,40.1,35.0
04005,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,,,,105.0,105.5,827.0,704.0,45.5,99.1,91.0
04203,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,,,73.8,36.0,33.6,99.0,89.7,12.6,27.0,29.0
04205,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,,,,25.5,24.5,331.5,349.0,14.0,23.81,23.0
04303,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,,,,0.9,0.9,27.0,27.9,0.6,1.864,2.0
04603,SARIS,SK,2021,10,5,2.34,0.877,3.383,True,,,,,,,,0.0,0.0,0.0
05002,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,,,,467.8,480.2,109.06,108.44,382.8,334.2,383.0
05003,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,,,,517.0,552.5,647.0,497.8,348.3,352.5,479.0
05003,RADEGAST,SK,2021,10,5,2.34,0.877,3.383,True,,,,18.3,27.9,46.5,37.2,24.9,17.61,15.0
05005,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,,,,765.0,857.5,3500.0,3476.0,609.5,443.0,764.0
05005,RADEGAST,SK,2021,10,5,2.34,0.877,3.383,True,,,,66.0,81.0,356.0,349.5,24.5,63.0,64.0
05103,RADEGAST,CZ,2021,10,5,2.34,0.877,3.383,True,,,417.0,445.5,493.5,465.2,407.5,337.2,326.8,419.0
