SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01015,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,3740.0,6110.0,7068.0,4690.0,12776.0,13530.0,21440.0,5222.9,7840.0,7986.0
01016,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,28.58,100.0,198.2,49.9,400.2,75.6,391.8,82.1304,75.1,109.0
01027,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,11.17,7.207,13.625,10.055,11.805,8.316,10.11,3.0
01041,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,21.42,,426.5,237.0,444.8,387.0,418.8,290.36,196.5,337.0
01042,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,1125.0,,,,90.0,0.0,0.0,304.0
01058,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,1500.0,,,,,0.0,0.0,179.0
01070,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,106.44,12.86,190.2,64.8,146.5,77.3,185.8,142.7184,146.6,163.0
01071,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,1702.0,940.0,1335.0,2868.0,1099.0,2374.0,729.5,1208.28,1474.0,2157.0
01075,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,250.0,,,1043.0,,1168.2792,1251.0,360.0
01076,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,5.277,3.0,,,6.84,0.0,2.271,63.0
01077,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,182.9,137.1,2066.0,666.0,1174.0,1162.0,755.5,5298.0,4700.0,1232.0
01078,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,48.7,37.72,22.23,29.97,,34.2,9.9,36.0
01095,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,0.6406,,,,,0.0,0.0,11.0
01096,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,1.895,3.4,0.6,1.24,6.12,1.8,1.4795,16.0
01125,ASAHI,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,2.0,0.982,3.8,2.217,0.554,0.475,1.5048,0.871,7.0
02015,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,2130.0,730.5,1287.0,3076.0,1182.0,801.5,624.0,1046.2,1147.0,1726.0
02071,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,864.0,186.8,748.5,304.2,820.0,853.0,611.0,987.24,1380.0,1135.0
02115,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,4664.0,5428.0,12590.0,3562.0,9976.0,12880.0,7504.0,7917.8,6530.0,8604.0
