SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01015,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,3740.0,6110.0,7068.0,4690.0,12776.0,13530.0,21440.0,5222.9,7840.0,7102.0
01015,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,3814.0,2394.0,1937.0,2660.0,2038.0,2588.0,2100.0,3376.0,3310.0,3061.0
01016,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,28.58,100.0,198.2,49.9,400.2,75.6,391.8,82.1304,75.1,134.0
01016,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,9.69,27.34,36.3,46.88,49.5,17.58,44.75,23.1264,23.95,36.0
01027,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,11.17,7.207,13.625,10.055,11.805,8.316,10.11,7.0
01041,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,21.42,,426.5,237.0,444.8,387.0,418.8,290.36,196.5,344.0
01041,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,765.0,280.0,,,806.5,,0.0,0.0,110.0
01042,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1125.0,,,,90.0,0.0,0.0,193.0
01044,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,150.0,,,,,0.0,0.0,52.0
01058,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1500.0,,,,,0.0,0.0,156.0
01070,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,106.44,12.86,190.2,64.8,146.5,77.3,185.8,142.7184,146.6,142.0
01070,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,19.4,1.552,17.36,23.77,8.79,15.76,9.34,8.712,4.03,24.0
01071,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,1702.0,940.0,1335.0,2868.0,1099.0,2374.0,729.5,1208.28,1474.0,2108.0
01075,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,250.0,,,1043.0,,1168.2792,1251.0,201.0
01076,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,5.277,3.0,,,6.84,0.0,2.271,66.0
01076,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1536.0,,,1535.0,,959.5,266.0,0.24,0.0,454.0
01077,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,182.9,137.1,2066.0,666.0,1174.0,1162.0,755.5,5298.0,4700.0,1373.0
01077,PILSNER URQUELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,454.0,1409.0,2790.0,3418.0,2720.0,3300.0,1818.0,2009.76,2009.0,2490.0
01078,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,48.7,37.72,22.23,29.97,,34.2,9.9,37.0
01095,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,0.6406,,,,,0.0,0.0,21.0
01096,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1.895,3.4,0.6,1.24,6.12,1.8,1.4795,14.0
01125,ASAHI,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,2.0,0.982,3.8,2.217,0.554,0.475,1.5048,0.871,9.0
