SkuShort,Brand,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01015,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,3740.0,6110.0,7068.0,4690.0,12776.0,13530.0,21440.0,5222.9,7840.0,8116.0
01015,PILSNER URQUELL,SK,2021,15,5,3.277,1.754,1.525,True,3814.0,2394.0,1937.0,2660.0,2038.0,2588.0,2100.0,3376.0,3310.0,2942.0
01016,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,28.58,100.0,198.2,49.9,400.2,75.6,391.8,82.1304,75.1,131.0
01016,PILSNER URQUELL,SK,2021,15,5,3.277,1.754,1.525,True,9.69,27.34,36.3,46.88,49.5,17.58,44.75,23.1264,23.95,39.0
01027,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,,,11.17,7.207,13.625,10.055,11.805,8.316,10.11,16.0
01041,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,21.42,,426.5,237.0,444.8,387.0,418.8,290.36,196.5,382.0
01070,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,106.44,12.86,190.2,64.8,146.5,77.3,185.8,142.7184,146.6,148.0
01070,PILSNER URQUELL,SK,2021,15,5,3.277,1.754,1.525,True,19.4,1.552,17.36,23.77,8.79,15.76,9.34,8.712,4.03,25.0
01071,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,1702.0,940.0,1335.0,2868.0,1099.0,2374.0,729.5,1208.28,1474.0,1989.0
01075,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,,,250.0,,,1043.0,,1168.2792,1251.0,748.0
01076,PILSNER URQUELL,SK,2021,15,5,3.277,1.754,1.525,True,,,,1535.0,,959.5,266.0,0.24,0.0,956.0
01077,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,182.9,137.1,2066.0,666.0,1174.0,1162.0,755.5,5298.0,4700.0,1371.0
01077,PILSNER URQUELL,SK,2021,15,5,3.277,1.754,1.525,True,454.0,1409.0,2790.0,3418.0,2720.0,3300.0,1818.0,2009.76,2009.0,2303.0
01078,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,,,48.7,37.72,22.23,29.97,,34.2,9.9,41.0
01096,PILSNER URQUELL,CZ,2021,15,5,3.277,1.754,1.525,True,,,1.895,3.4,0.6,1.24,6.12,1.8,1.4795,13.0
01125,ASAHI,CZ,2021,15,5,3.277,1.754,1.525,True,,2.0,0.982,3.8,2.217,0.554,0.475,1.5048,0.871,9.0
01125,ASAHI,SK,2021,15,5,3.277,1.754,1.525,True,,,0.10986,0.396,1.268,0.1584,0.1584,0.2376,0.2128,6.0
02015,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,2130.0,730.5,1287.0,3076.0,1182.0,801.5,624.0,1046.2,1147.0,1761.0
02015,GAMBRINUS,SK,2021,15,5,3.277,1.754,1.525,True,11.29,10.43,,29.8,60.6,,,103.0,18.56,62.0
02071,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,864.0,186.8,748.5,304.2,820.0,853.0,611.0,987.24,1380.0,1007.0
02077,GAMBRINUS,SK,2021,15,5,3.277,1.754,1.525,True,297.2,354.8,429.8,530.0,414.0,855.5,381.2,1731.0,1523.0,604.0
02115,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,4664.0,5428.0,12590.0,3562.0,9976.0,12880.0,7504.0,7917.8,6530.0,8646.0
02115,GAMBRINUS,SK,2021,15,5,3.277,1.754,1.525,True,599.0,538.0,664.5,963.5,977.0,480.5,76.3,604.8,506.5,918.0
02141,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,,,200.8,41.56,40.9,123.5,181.4,66.8,53.97,88.0
02170,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,20.47,15.1,120.56,26.61,44.03,26.84,103.75,31.7592,31.75,50.0
02171,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,1639.0,597.5,1835.0,1194.0,2142.0,1348.0,2618.0,2018.88,2320.0,2169.0
02177,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,1666.0,3780.0,1819.0,1400.0,3180.0,2392.0,501.2,1198.32,1589.0,1558.0
02177,GAMBRINUS,SK,2021,15,5,3.277,1.754,1.525,True,1482.0,1421.0,1543.0,1640.0,1717.0,2568.0,2254.0,1079.88,1809.0,2006.0
02215,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,,21.42,305.5,260.8,321.2,242.4,255.2,229.3,234.6,285.0
02815,EXCELENT,CZ,2021,15,5,3.277,1.754,1.525,True,841.5,2009.0,3072.0,898.5,2508.0,1660.0,460.5,1618.4,1230.0,1408.0
02841,EXCELENT,CZ,2021,15,5,3.277,1.754,1.525,True,,,143.5,0.0,0.56,128.1,89.0,294.28,128.0,26.0
02871,EXCELENT,CZ,2021,15,5,3.277,1.754,1.525,True,314.0,217.0,481.0,422.0,444.0,322.5,194.1,519.0,448.2,542.0
02877,EXCELENT,CZ,2021,15,5,3.277,1.754,1.525,True,,,171.4,32.4,73.94,79.94,89.75,34.8,47.0,70.0
03015,PRIMUS,CZ,2021,15,5,3.277,1.754,1.525,True,97.5,69.6,1014.5,446.5,705.0,830.5,799.0,746.7,745.0,673.0
03092,PRIMUS,CZ,2021,15,5,3.277,1.754,1.525,True,580.5,462.0,841.0,699.5,524.0,937.5,1145.0,776.76,938.0,969.0
03115,KLASIK,CZ,2021,15,5,3.277,1.754,1.525,True,151.2,290.8,1301.0,768.5,1296.0,916.5,1019.0,810.7,1113.0,990.0
03515,GAMBRINUS,CZ,2021,15,5,3.277,1.754,1.525,True,,,44.47,4.6,6.0,59.6,75.0,47.8,0.0,26.0
04015,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,443.0,610.5,582.0,424.0,486.8,700.5,359.8,253.2,399.2,630.0
04077,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,286.5,256.5,356.2,208.2,196.2,335.8,677.5,286.68,258.2,353.0
04215,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,2244.0,2256.0,1990.0,2324.0,2314.0,1945.0,1332.0,1935.7,1755.0,2532.0
04271,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,119.0,202.6,190.6,126.0,93.94,238.0,204.4,130.2,78.75,170.0
04277,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,113.75,340.5,689.0,962.0,910.5,698.5,660.5,1072.44,807.5,827.0
04315,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,3.373,3.543,56.53,30.6,40.6,38.7,56.6,28.8,36.4,43.0
04377,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,2.244,2.244,34.6,35.28,35.4,49.44,30.36,11.16,23.27,43.0
04476,SARIS,SK,2021,15,5,3.277,1.754,1.525,True,109.4,92.94,93.4,55.2,11.88,80.6,169.2,66.84,48.0,77.0
04515,SMADNY MNICH,SK,2021,15,5,3.277,1.754,1.525,True,542.0,313.2,,630.5,612.5,1056.0,1164.0,1306.3,1012.0,909.0
04585,SMADNY MNICH,SK,2021,15,5,3.277,1.754,1.525,True,1141.0,948.5,,1472.0,1030.0,1408.0,860.5,3231.096,2650.0,1326.0
04590,SMADNY MNICH,SK,2021,15,5,3.277,1.754,1.525,True,224.4,33.78,,369.8,819.0,1316.0,1116.0,418.14,701.0,723.0
