SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01000,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,3010.0,279.8,376.2,,3008.0,280.21000000000004,145.0,504.0
01002,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,745.5,926.5,1240.0,717.5,555.0,760.5,736.0,521.0
01003,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,3848.0,1787.0,2000.0,643.0,3088.0,1456.5,1363.0,1414.0
01005,PILSNER URQUELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,8180.0,2524.0,2982.0,944.0,7350.0,2182.0,1745.0,2844.0
02003,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,247.4,,,,136.2,0.0,0.0,10.0
02300,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,319.0,,,,269.2,0.0,0.0,39.0
02303,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,431.5,121.8,137.4,56.7,292.5,115.2,113.1,122.0
02305,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,2380.0,207.5,206.5,70.5,1634.0,222.0,210.2,179.0
02500,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,280.5,,,,372.8,0.0,0.0,23.0
02503,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,100.25,93.0,115.5,57.0,115.5,87.6,83.75,83.0
02505,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,784.5,144.0,208.0,34.5,1140.0,183.5,154.0,159.0
02600,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1084.0,,,,1128.0,0.0,0.0,74.0
02603,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,677.0,425.5,487.8,260.0,646.0,414.0,364.0,249.0
02605,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,6144.0,1076.0,1123.0,286.5,5900.0,964.0,879.5,1059.0
02803,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,68.4,201.6,225.0,103.5,186.0,152.1,103.3,91.0
02805,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,258.0,159.5,143.5,35.5,563.5,139.5,64.7,120.0
05000,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1035.0,38.4,37.97,,822.5,47.879999999999995,0.0,148.0
05002,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,216.6,638.0,718.0,459.5,122.4,496.65,461.0,223.0
05003,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,694.0,776.0,886.0,352.5,621.5,655.8,569.5,395.0
05005,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,4264.0,1681.0,1630.0,227.0,3848.0,1251.5,964.0,1184.0
05100,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,302.8,14.85,19.8,,310.8,9.9,0.0,192.0
05103,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,603.5,645.5,776.0,312.5,486.5,593.7,482.5,379.0
05105,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,5176.0,1082.0,1166.0,178.5,4544.0,889.5,580.5,1008.0
05202,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,101.1,3.3,4.95,0.15,88.06,4.65,5.477,12.0
05203,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,656.5,3.0,14.7,1.2,603.0,2.7,18.08,7.0
05603,RADEGAST,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,274.8,65.7,72.0,,,59.1,39.1,87.0
06003,KOZEL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,51.97,8.7,15.0,10.8,26.1,7.2,7.85,4.0
