SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
01000,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,3010.0,279.8,376.2,,3008.0,280.21000000000004,145.0,533.0
01000,PILSNER URQUELL,SK,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,375.5,,,,345.0,125.0,0.0,126.0
01002,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,745.5,926.5,1240.0,717.5,555.0,760.5,736.0,541.0
01002,PILSNER URQUELL,SK,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,87.3,76.06,138.2,45.6,80.4,64.5,69.1,52.0
01003,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,3848.0,1787.0,2000.0,643.0,3088.0,1456.5,1363.0,1205.0
01003,PILSNER URQUELL,SK,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,497.2,164.8,424.2,21.3,520.0,134.7,247.8,201.0
01005,PILSNER URQUELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,8180.0,2524.0,2982.0,944.0,7350.0,2182.0,1745.0,2524.0
01005,PILSNER URQUELL,SK,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,917.5,373.0,1005.5,66.5,837.5,316.0,361.2,399.0
02003,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,247.4,,,,136.2,0.0,0.0,30.0
02300,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,319.0,,,,269.2,0.0,0.0,64.0
02303,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,431.5,121.8,137.4,56.7,292.5,115.2,113.1,93.0
02305,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,2380.0,207.5,206.5,70.5,1634.0,222.0,210.2,164.0
02500,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,280.5,,,,372.8,0.0,0.0,68.0
02503,GAMBRINUS,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,100.25,93.0,115.5,57.0,115.5,87.6,83.75,65.0
02503,GAMBRINUS,SK,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,20.45,3.3,7.8,,22.2,4.8,12.08,5.0
